日本語,日本語の読み方,タイ語,Add Reverse
潜む,ひそむ,ซุ่มซ่อน หลบ,
潜在,せんざい,การหลบอยู่ภายใน ด้านใต้ อยู่ในจิตใต้สำนึก,
潮汐,ちょうせき,น้ำขึ้นน้ำลง,y
澱む,よどむ,(น้ำ)ขัง,y
激励,げきれい,การให้กำลังใจ,y
濁る,にごる,ขุ่น เสียงขุ่น (กริยา),y
瀕死状態,ひんしじょうたい,สภาวะใกล้ตาย,y
瀬戸際,せとぎわ,ภาวะวิกฤต ตัวชี้ชะตา หัวเลี้ยวหัวต่อ,y
火種,ひだね,ต้นเพลิง สาเหตุที่ทำให้เกิดเรื่องวุ่นวาย,y
火薬,かやく,ดินปืน,y
灯台,とうだい,ประภาคาร,y
灯油,とうゆ,น้ำมันก๊าด,y
炎天下,えんてんか,กลางแจ้งในวันที่แดดจัด,y
炭水化物,たんすいかぶつ,คาร์โบไฮเดรต,y
点呼,てんこ,การขานชื่อทีละคน,y
点検,てんけん,ตรวจตราทีละจุด ตรวจอย่างละเอียด<br>,y
為政者,いせいしゃ,ผู้ปกครองบ้านเมือง,
焙煎する,ばいせんする,คั่ว,y
無我夢中,むがむちゅう,（四字熟語）ทำอย่างไม่คิดชีวิต หมกมุ่นในสิ่งหนึ่งโดยไม่รู้ตัว,y
無洗米,むせんまい,ข้างที่หุงได้เลยแบบไม่ต้องล้าง,y
無神経,むしんけい,ไม่นึกถึงใจเขาใจเรา ไม่รู้สึกรู้สา,y
無線呼び出し,むせんよびだし,เพจเจอร์ (和語),y
無謀,むぼう,สะเพร่า ไม่รู้จักคิด ไม่รู้จักไตร่ตรองให้รอบคอบ (漢字),y
焦らす,じらす,แหย่ ทำให้ฉุนเฉียว,y
照合,しょうごう,การเปรียบเทียบ การตรวจเทียบ,
煩わしい,わずらわしい,ยุ่งยาก น่ารำคาญ,
熟練,じゅくれん,ได้รับการฝึกทักษะ (en: skilled),y
熱心,ねっしん,ความกระตือรือร้น,
熱意,ねつい,ความปรารถนา ความกระตือรือร้น,
熱燗,あつかん,สาเกอุ่น,y
熾烈,しれつ,รุนแรง ดุเดือด,
燦然,さんぜん,สุกใส เป็นประกาย รุ่งโรจน์,
爬虫類,はちゅうるい,สัตว์เลื้อยคลาน,y
片栗粉,かたくりこ,แป้งมัน,y
版画,はんが,ภาพพิมพ์,y
牡牛座,おうしざ,ราศีพฤษภ,y
牡羊座,おひつじざ,ราศีเมษ,y
牢屋,ろうや,คุก,
物乞い,ものごい,ขอทาน (๓),y
物差し,ものさし,ไม้บรรทัด,y
物色,ぶっしょく,เลือก คัดสรร เฟ้นหา รูปร่างสีสัน,
物質,ぶっしつ,สาร วัสดุ (ฟิสิกส์),y
牽制,けんせい,การสกัดกั้น,y
狂牛病,きょうぎゅうびょう,โรควัวบ้า,y
狛犬,こまいぬ,รูปปั้นสุนัขเฝ้าประตู,y
狩猟,しゅりょう,การล่าสัตว์,y
独り占め,ひとりじめ,เอกสิทธิ์ ผูกขาด,y
独断専行,どくだんせんこう,（四字熟語） ทำตามที่ใจคิด ลุยเดี่ยว,y
独楽,こま,ลูกข่าง,y
独立自尊,どくりつじそん,（四字熟語） พึ่งพาตนเอง ก้าวหน้าด้วยตนเองและชื่นชมตนเอง,y
狸寝入りする,たぬきねいりする,แกล้งหลับ,y
猟奇,りょうき,ที่แปลกประหลาด ที่ลึกลับ,
猫糞,ねこばば,การเอาของคนอื่นมาเป็นของตัวเอง,y
猫背,ねこぜ,หลังค่อม,y
献血,けんけつ,การบริจาคเลือด,y
猶予,ゆうよ,ลังเล เลื่อน ผัดผ่อน,y
獅子座,ししざ,ราศีสิงห์,y
玄武,げんぶ,เต่าดำ,y
率いる,ひきいる,นำ เป็นหัวหน้า,y
率先,そっせん,การทำให้ดูเป็นเยี่ยงอย่าง,
珪藻土,けいそうど,ดินเบา,y
琥珀,こはく,สีเหลืองอำพัน,y
瓜,うり,พืชจำพวกแตง (う),y
瓜二つ,うりふたつ,เหมือนกันราวกับแกะ,y
甘味処,あまみどころ,ร้านขนมหวาน,
生き霊,いきりょう,วิญญาณคนเป็น,y
生け贄,いけにえ,ผู้ถูกบูชายัญ,y
生態系,せいたいけい,ระบบนิเวศ,y
生殖,せいしょく,การแพร่พันธ์ การขยายพันธุ์,y
甥,おい,หลานชาย,y
由緒,ゆいしょ,ประวัติความเป็นมา ความเก่าแก่,y
甲冑,かっちゅう,ชุดและหมวกเกราะ,y
甲斐性,かいしょう,ความเป็นที่พึ่งพาได้ ความน่าเชื่อถือ,y
画鋲,がびょう,หมุด,y
界隈,かいわい,บริเวณ,
異口同音,いくどうおん,（四字熟語） พูดเป็นเสียงเดียวกัน,y
疎,そ,หรอมแหรม ห่างไกล แตกแยก,
疎か（おろか）,,ไม่ต้องพูดถึง,y
疎か（おろそか）,,ไม่เอาใจใส่ แบบลวก ๆ ขอไปที,y
疑心暗鬼に駆られる,ぎしんあんきにかられる,ตกอยู่ในความหวาดระแวงไปทุกเรื่อง,y
疑心暗鬼を生ず,ぎしんあんきをしょうず,หวาดระแวงไปทุกเรื่อง,y
疫学,えきがく,ระบาดวิทยา,y
疼く,うずく,เจ็บ ปวด รวดร้าว,y
疼痛,とうつう,อาการปวดตุ๊บ ๆ,y
病床,びょうしょう,เตียงผู้ป่วย,y
痕跡,こんせき,ร่องรอย หลักฐานที่ทิ้งไว้,
痙攣,けいれん,กล้ามเนื้อกระตุก หดเกร็ง,y
発足,ほっそく,การออกเดินทาง,
登竜門,とうりゅうもん,ประตูสู่ความสำเร็จ,y
白状,はくじょう,การสารภาพ การเปิดเผยความผิดของตัวเอง,y
白虎,びゃっこ,สิงห์ขาว,y
百害あって一利なし,ひゃくがいあっていちりなし,(สำนวน) มีแต่เรื่องแย่ ๆ ไม่มีเรื่องดี ๆ เลย,y
的を射る,まとをいる,เข้าใจ จับประเด็นได้ ตรงเป้า,y
皆勤賞,かいきんしょう,รางวัลสำหรับพนักงานที่มาทำงานโดยไม่ขาดงาน,y
目が眩む,めがくらむ,ตาพร่า หน้ามืดตามัว,y
目が肥える,めがこえる,มีตาดี ตาถึง เทสดี,y
目出し帽,めだしぼう,หมวกไอ้โม่ง,y
目盛り,めもり,สเกล(ในกราฟ),y
目論む,もくろむ,วางแผนการ,y
目論見,もくろみ,แผนการ,
盲腸炎,もうちょうえん,ไส้ติ่งอักเสบ (!ち),y
直向き,ひたむき,ทุ่มเท ใจจดใจจ่อ มุ่งกับ,y
直積,ちょくせき,ผลคูณคาร์ทีเซียน,y
直箸,じかばし,การเอาตะเกียบคีบอาหารโดยตรง,y
相俟って,あいまって,อาศัย (2 สิ่ง) ประกอบกัน,y
相対的,そうたいてき,เชิงสัมพัทธ์,y
相応しい,ふさわしい,เหมาะสม,
相棒,あいぼう,หุ้นส่วน,y
相関,そうかん,ความเกี่ยวข้องกัน,y
眉間,みけん,หว่างคิ้ว,y
看板娘,かんばんむすめ,พนักงานที่เป็นจุดขายของร้าน,y
真実味,しんじつみ,ความเป็นจริง,
真摯,しんし,จริงจัง ซีเรียส,
真空,しんくう,สุญญากาศ,y
眼差し,まなざし,สายตา (แววตา ที่มองด้านลบ),y
着服,ちゃくふく,ยักยอกเงิน,y
睨む,にらむ,จ้องมอง กำกับ คาดเดา,
睾丸,こうがん,ลูกอัณฑะ (漢字・音読),y
矛盾,むじゅん,ความขัดแย้ง,
短冊,たんざく,กระดาษคำอธิษฐานทานาบาตะ,y
短所,たんしょ,ข้อเสีย,y
短針,たんしん,เข็มสั้น (นาฬิกา),y
石油精製,せきゆせいせい,การกลั่นน้ำมัน,y
石膏,せっこう,ปูนปลาสเตอร์,y
砂金,さきん,ผงทอง ตะกอนทองคำ,y
研ぐ,とぐ,ขัดให้เงา ลับให้คม ซาวข้าว,
砕ける,くだける,แตกเป็นผุยผง,y
破傷風,はしょうふう,บาดทะยัก,y
破天荒,はてんこう,ทำลายสถิติ ทำเรื่องที่ไม่มีใครเคยทำมาก่อน,y
破片,はへん,เศษ ส่วนที่เหลือ,y
破綻,はたん,ล่มสลาย พัง ไม่สำเร็จ,
硬派,こうは,พวกหัวแข็ง อันธพาล,y
硬直,こうちょく,การเกร็ง,y
碑,いしぶみ,อนุสาวรีย์ หลักหิน,y
確固,かっこ,มั่นคง แน่วแน่,
確約する,かくやくする,สัญญา รับปาก,
磁束,じそく,ฟลักซ์แม่เหล็ก,
磁石,じしゃく,แม่เหล็ก,y
礎,いしずえ,ฐานหินของสิ่งก่อสร้าง,y
示唆,しさ,การชี้แนะ การแนะนำ,
社交,しゃこう,การเข้าสังคม,y
社交不安障害,しゃこうふあんしょうがい,โรคกลัวการเข้าสังคม,y
祀る,まつる,บูชา บวงสรวง,y
神のみぞ知る,かみのみぞしる,ไม่มีใครรู้ได้ ไม่มีใครรู้ ไม่อาจทราบได้,y
神経衰弱,しんけいすいじゃく,ประสาทเสื่อม,y
祟る,たたる,ลงทัณฑ์ (เทพเจ้า)ลงโทษ,y
祠,ほこら,ศาลเจ้าที่,y
禁忌,きんき,ข้อห้าม,
福利,ふくり,สวัสดิการ สังคมสงเคราะห์ (welfare),y
福神漬け,ふくじんづけ,ผักดองในแกงกะหรี่,y
私利私欲,しりしよく,（四字熟語） เห็นแก่ได้ หน้าเงิน,y
稀,まれ,หายาก มีไม่มาก น้อยครั้งมาก,y
稚拙,ちせつ,ความไม่มีศิลป์ ดูอ่อนหัด,y
種明かし,たねあかし,เฉลยกล เปิดเผยทริค,y
稲光,いなびかり,ฟ้าแลบ (!～ず),y
稲妻,いなずま,ฟ้าแลบ (!～び),y
空き巣狙い,あきすねらい,การถือโอกาสขโมยตอนไม่มีคนอยู่บ้าน,y
空理空論,くうりくうろん,（四字熟語）  ทฤษฎีหรือหลักการที่ไม่มีประโยชน์ในทางปฏิบัติ,y
空襲,くうしゅう,การโจมตีทางอากาศ,y
窒素,ちっそ,ไนโตรเจน,y
立替金,たてかえきん,เงินสำรองจ่าย เงินจ่ายล่วงหน้า,y
立法権,りっぽうけん,อำนาจนิติบัญญัติ,y
符号,ふごう,เครื่องหมาย สัญลักษณ์ อักษร,y
第一審裁判所,だいいっしんさいばんしょ,ศาลชั้นต้น,y
筆跡,ひっせき,ลายมือ (ตัวหนังสือ),y
筵,むしろ,เสื่อ,y
箇所,かしょ,ที่ จุด แห่ง,
節,ふし,ข้อต่อ นิสัย,y
節目,ふしめ,จุดเปลี่ยน,y
築く,きずく,สร้าง ก่อร่างสร้างตัว,y
簡明,かんめい,กระชับ ชัดเจน ชัดแจ้ง,y
簡潔,かんけつ,โดยย่อ โดยกระชับ,y
米俵,こめだわら,กระสอบข้าว,y
米寿,べいじゅ,อายุ ๘๘ ปี,y
粒子,りゅうし,อนุภาคเล็ก ๆ,y
粗悪,そあく,คุณภาพไม่ดี,
粘土,ねんど,ดินเหนียว,y
粘膜,ねんまく,เยื่อบุ เยื่อเมือก,y
精力,せいりょく,ความมุ่งมั่น,
精製水,せいせいすい,น้ำกลั่น,y
糞発,ふんはつ,การปลุกใจ การเร้าใจ การทุ่มเงินจ่าย เปย์,y
糸口,いとぐち,ปลายด้าย ปัจจัยที่นำไปสู่ เบาะแส,
紀元前,きげんぜん,ก่อนคริสตศักราช,y
純真,じゅんしん,ความบริสุทธิ์ ไม่มีสิ่งเจือปน ไร้ราคี (!k),y
紛れる,まぎれる,ปนเป เนียนเข้าไป,y
紛争,ふんそう,ความขัดแย้ง การโต้เถียง,
素朴,そぼく,ที่บริสุทธิ์ ไม่ได้ตกแต่ง เรียบง่าย ซื่อ ๆ,y
素面,しらふ,ตอนยังไม่เมา,y
終焉,しゅうえん,สิ้นสุด ช่วงสุดท้าย บั้นปลาย,
組織,そしき,องค์กร,y
組閣,そかく,การตั้งคณะรัฐมนตรี,y
経度,けいど,เส้นลองจิจูด,y
結び目,むすびめ,ปม (ที่ขมวด),y
結界,けっかい,ที่คั่นกลางระหว่างโลกมนุษย์กับดินแดนศักดิ์สิทธิ์,y
結納,ゆいのう,การหมั้น,y
結膜,けつまく,เยื่อบุตา,y
結託,けったく,สมรู้ร่วมคิด รวมหัวกัน,y
絞る,しぼる,บิด คั้น,y
給仕人,きゅうじにん,บริกร,
絶対的,ぜったいてき,เชิงสัมบูรณ์,y
絶縁体,ぜつえんたい,ฉนวน(ไฟฟ้า/ความร้อน),y
絹,きぬ,เส้นไหม แพร,y
絹糸,けんし,ด้ายไหม เส้นไหม,
継承,けいしょう,การสืบทอด (คลาส),y
維持,いじ,บำรุง รักษา ค้ำจุน,y
網戸,あみど,มุ้งลวด,y
網羅,もうら,ครอบคลุมทั้งหมด,y
網膜,もうまく,เรตินา,y
綿毛,わたげ,ปุยขนที่นุ่มอ่อนราวกับสำลี,
緊迫,きんぱく,ความตึงเครียด บีบคั้น,y
総当たり,そうあたり,en: brute-force,y
総括,そうかつ,การสรุปรวม การพิจารณาโดยรวม,y
総称,そうしょう,ชื่อรวม การเรียกรวม ๆ,y
線形目盛,せんけいめもり,สเกลเชิงเส้น,y
緯度,いど,เส้นละติจูด,y
緻密,ちみつ,ถี่ถ้วน ละเอียดละออ,
縁,ふち,กรอบ รอบ ๆ,y
縁起,えんぎ,ของมงคล,y
縋る,すがる,เกาะ ยึดติด พึ่งพิง,y
縛る,しばる,มัด,y
縞,しま,แถบ ลาย ริ้ว,y
縫う,ぬう,เย็บ,y
縮む,ちぢむ,หด,y
縮れる,ちぢれる,หยัก ย่น,y
繊細,せんさい,ละเอียดละออ,y
繊維,せんい,กากไย (ผัก),y
繰る,くる,สาว ม้วน หมุนเก็บ(เชือก),y
罅,ひび,รอยร้าว ความร้าวฉาน,y
罠,わな,กับดัก หลุมพราง,y
罪を免れる,つみをまぬかれる,หลบหนีความผิด,y
美辞麗句,びじれいく,ถ้อยคำที่ประดิษฐ์ประดอยมาให้ฟังดูไพเราะ,y
羞恥心を抱く,しゅうちしんをだく,รู้สึกละอายใจ,y
群衆,ぐんしゅう,ฝูงคน,y
群青,ぐんじょう,สีน้ำเงินเข้ม,y
羨望,せんぼう,ความอิจฉา,y
義足,ぎそく,ขาเทียม,y
習字,しゅうじ,การคัดลายมือ การเขียนตัวบรรจง,y
翡翠,ひすい,หยก,y
老若男女,ろうにゃくなんにょ,（四字熟語） ทุกเพศทุกวัย,y
考慮,こうりょ,การพิจารณา ไตร่ตรอง ใคร่ครวญ,y
耕す,たがやす,ไถนา พรวนดิน,y
耕作,こうさく,การเพาะปลูก การทำไร่นา,y
耳垢,みみあか,ขี้หู,y
耳打ち,みみうち,การกระซิบข้างหู,y
耳栓,みみせん,ที่อุดหู,y
聖人君子,せいじんくんし,（四字熟語） คนที่สมบูรณ์แบบ คนที่มีความรู้และคุณธรรมสูงส่ง,y
職質,しょくしつ,การที่ตำรวจเรียกให้สอบสวน,y
肋骨,ろっこつ,กระดูกซี่โครง,y
肖像権,しょうぞうけん,สิทธิในภาพถ่าย,y
肝に銘じる,きもにめいじる,จำไว้ไม่ลืม,y
肝炎,かんえん,ตับอักเสบ,y
肥える,こえる,อ้วนขึ้น สมบูรณ์ขึ้น มั่งคั่งขึ้น,y
肥満,ひまん,ความอ้วน (漢字),y
肩車,かたぐるま,การขี่คอ,y
肺活量,はいかつりょう,พลังปอด,y
背面,はいめん,ด้านหลัง หันหลัง,y
胎児,たいじ,ลูกในครรภ์,y
胡坐をかく,あぐらをかく,นั่งขัดสมาธิ,y
胡散臭い,うさんくさい,น่าสงสัย ไม่น่าไว้ใจ (!あ),y
脅す,おどす,ขู่,y
脆い,もろい,เปราะ แตกหักง่าย บอบบาง,y
脆弱性,ぜいじゃくせい,ความเปราะบาง ความอ่อนไหว ความอ่อนแอ,
脚本,きゃくほん,บทละคร บทภาพยนตร์,y
脛,すね,หน้าแข้ง,y
脱皮,だっぴ,การลอกคราบ,y
脱臼,だっきゅう,ข้อหลุด ข้อเคลื่อน,y
脳卒中,のうそっちゅう,โรคหลอดเลือดสมอง (en: stroke),y
脳梗塞,のうこうそく,โรคเส้นเลือดในสมองตีบ,y
脳裏,のうり,ในสมอง ในใจ,y
脳裏をよぎる,のうりをよぎる,แว๊บเข้ามาในหัว ความคิดผุดขึ้นมา,y
腕白,わんぱく,ซน ซุกซน วุ่นวาย,y
腫瘍,しゅよう,เนื้องอก,y
腰が抜ける,こしがぬける,เข่าอ่อน ล้มทั้งยืน,y
腰を捻る,こしをひねる,บิดเอว,y
腹黒い,はらぐろい,ปากอย่างใจอย่าง เชื่อถือไม่ได้,y
膀胱,ぼうこう,กระเพาะปัสสาวะ,y
膨らむ,ふくらむ,โป่ง พอง ผลิ,y
膨大,ぼうだい,ขนาดใหญ่ มโหฬาร,
膿,うみ,หนอง,y
臆病,おくびょう,ขี้ขลาด,y
臨戦態勢,りんせんたいせい,（四字熟語） เตรียมพร้อมต่อสู้ พร้อมรบ,y
臨機応変,りんきおうへん,（四字熟語） การแก้ไขปัญหาเฉพาะหน้า การปรับตัวเพื่อรับมือกับสถานการณ์,y
臨終,りんじゅう,วาระสุดท้ายของชีวิต,y
自ずから,おのずから,ด้วยตัวเอง เป็นไปตามธรรมชาติ,
自己嫌悪,じこけんお,การเกลียดชังตัวเอง,y
自治州,じちしゅう,เขตปกครองตนเอง แคว้น,y
自画自賛,じがじさん,（四字熟語）การชมตัวเอง,y
至って,いたって,มาก ๆ,
至福,しふく,มีความสุขที่สุด,
興業,こうぎょう,การเริ่มธุรกิจใหม่ การเริ่มทำอะไรใหม่ ๆ,
色彩,しきさい,สีสัน,y
色褪せる,いろあせる,สีซีด สีจาง,y
芽生える,めばえる,แตกกิ่ง แตกต้นอ่อน,y
苗,なえ,ต้นกล้า,y
苛立つ,いらだつ,ประสาทกิน ถูกกวนประสาท,y
苦境に立たされる,くきょうにたたされる,การตกที่นั่งลำบาก ตกอยู่ในสถานการณ์ลำบาก,y
苦汁,にがり,ดีเกลือ,y
苦言を呈する,くげんをていする,ว่ากล่าวตักเตือนด้วยคำพูดรุนแรง,y
英断,えいだん,การกล้าตัดสินใจ,y
茂み,しげみ,พุ่มไม้,y
茫然自失,ぼうぜんじしつ,（四字熟語） เหม่อลอย ไม่อยู่กับเนื้อกับตัว,y
華奢,きゃしゃ,ละเอียดอ่อน บอบบาง น่าทะนุถนอม,y
華氏,かし,องศาฟาเรนไฮต์,y
萎える,なえる,เหี่ยว ห่อเหี่ยว,y
落胆,らくたん,ความท้อแท้ ความสิ้นหวัง,
落花生,らっかせい,ถั่วดิน,y
落雷,らくらい,ฟ้าผ่า (ลงมา),y
葉酸,ようさん,กรดโฟลิก วิตามินบี 9,y
著しい,いちじるしい,โดดเด่น,y
著す,あらわす,จดบันทึกในหนังสือ แต่งหนังสือ,
著作権,ちょさくけん,ลิขสิทธิ์,y
葛藤,かっとう,เรื่องขัดแย้ง ความบาดหมาง,y
蒸発,じょうはつ,การระเหย,y
蒸籠,せいろ／せいろう,เข่ง ภาชนะนึ่งอาหาร,y
蒼白,そうはく,สีขาวซีด,y
蔓,つる,เถาวัลย์,y
蔓延,まんえん,การแพร่กระจาย,y
蔵書,ぞうしょ,หนังสือที่มีในครอบครอง,
蕁麻疹,じんましん,โรคลมพิษ,y
薪,まき,ฟืน ไม้ฟืน,y
虎口を逃れて竜穴に入る,ここうをのがれてりゅうけつにいる,หนีเสือปะจระเข้,y
虚しい,むなしい,ว่างเปล่า ไร้ประโยชน์,y
虫垂炎,ちゅうすいえん,ไส้ติ่งอักเสบ (!も),y
虫酸が走る,むしずがはしる,พะอืดพะอม อาการกดไหลย้อน,y
虱,しらみ,เหา,y
蚊柱,かばしら,ฝูงยุง,y
蚕,かいこ,ตัวไหม,y
蚤,のみ,เห็บ หมัด,y
蚤の市,のみのいち,ตลาดนัด,y
蛭,ひる,ปลิง,y
蛹,さなぎ,ดักแด้,y
融資,ゆうし,การปล่อยเงินกู้,
螺旋階段,らせんかいだん,บันไดวน,y
蟹座,かにざ,ราศีกรกฎ,y
蠍座,さそりざ,ราศีพิจิก,y
血小板,けっしょうばん,เกล็ดเลือด,y
血栓症,けっせんしょう,ลิ่มเลือดอุดตัน,y
衆議院,しゅうぎいん,สภาผู้แทนราษฎร,y
行事,ぎょうじ,พิธี งาน ธรรมเนียม,y
行政権,ぎょうせいけん,อำนาจบริหาร,y
衛生,えいせい,อนามัย,y
衣食住,いしょくじゅう,เครื่องนุ่มห่ม อาหาร ที่อยู่อาศัย,y
表裏一体,ひょうりいったい,（四字熟語） สองสิ่งที่เป็นหนึ่งเดียวกัน,y
衰える,おとろえる,เสื่อม ถดถอย อ่อนกำลัง มอด,y
袖をまくる,そでをまくる,เลิกแขนเสื้อ,y
装飾,そうしょく,การประดับ เครื่องประดับ,y
補う,おぎなう,เสริม ชดเชย เติม,y
補強,ほきょう,เสริมให้แข็งแรงขึ้น,y
裾,すそ,ปลายขากางเกง,y
襟,えり,ปกเสื้อ คอเสื้อ,y
襲う,おそう,เข้าโจมตี เข้าถล่ม,
要旨,ようし,สรุปใจความสำคัญ,y
要約,ようやく,สรุป,y
覆い隠す,おおいかくす,บัง,y
覆す,くつがえす,ล้มล้าง หักล้าง คว่ำ,y
覗き穴,のぞきあな,ตาแมว (訓読み),y
覚悟,かくご,การยอมรับ การทำใจยอมรับ,y
覚醒,かくせい,ตาสว่าง ตื่น,y
親孝行,おやこうこう,กตัญญูกตเวที,y
角括弧,かくかっこ,วงเล็บเหลี่ยม［］,y
解く（ほどく）,,คลาย(ปม) แก้(เชือก),y
解剖,かいぼう,ชันสูตรพลิกศพ (ผ่า),y
解雇,かいこ,การเลิกจ้าง การไล่ออก,y
言いたげ,いいたげ,ทำท่าเหมือนอยากจะพูดอะไรสักอย่าง,y
言い丸める,いいまるめる,พูดตะล่อม หว่านล้อม โน้มน้าว,y
言及,げんきゅう,การพาดพิง อ้างถึง,y
言語道断,ごんごどうだん,（四字熟語） หมดคำจะพูด โหดร้ายจนกว่าจะสรรหาคำมาพูด,y
言質,げんち,คำสัญญา คำปฏิญาณ,
討議,とうぎ,การอภิปราย ถกเถียง,y
設ける,もうける,จัดเตรียม (งาน),y
許容,きょよう,ยอมรับได้,
該当,がいとう,ตรงเกณฑ์ ความเกี่ยวข้อง,
詳らか,つまびらか,ละเอียด,
誇示,こじ,การโอ้อวด,y
語り尽くす,かたりつくす,พูดในเรื่องที่คู่สนทนาสนใจ,y
誠意,せいい,ความจริงใจ ความบริสุทธิ์ใจ,y
読経,どきょう,สวดมนต์,y
誰彼,だれかれ,ไม่ว่าใครก็ตาม,
誰彼なしに,だれかれなしに,ไม่ว่าจะกับใคร,y
誹謗中傷,ひぼうちゅうしょう,ใส่ร้ายป้ายสี,y
調律,ちょうりつ,การจูนเสียง การปรับเสียงของเครื่องดนตรี,y
請求書,せいきゅうしょ,ใบแจ้งหนี้,y
論功行賞,ろんこうこうしょう,（四字熟語） ให้รางวัลตอบแทนความสำเร็จ,y
論旨,ろんし,ประเด็นถกเถียง ประเด็นในบทความวิจัย,y
諸君,しょくん,พวกคุณทุกคน (พูดกับหมู่คณะ),y
諸外国,しょがいこく,นานาประเทศ,y
謹慎,きんしん,การพักการเรียน การควบคุมความประพฤติ,y
護身,ごしん,การป้องกันตัวเอง,
護送車,ごそうしゃ,รถคุมขัง,y
豊富,ほうふ,มั่งคั่ง อุดมสมบูรณ์,
豪州,ごうしゅう,ออสเตรเลีย,
負傷,ふしょう,การได้รับบาดเจ็บ,
負担,ふたん,ภาระ,y
財宝,ざいほう,สมบัติ,y
財界,ざいかい,แวดวงธุรกิจ,y
財閥,ざいばつ,กลุ่มทุนใหญ่,y
貧困,ひんこん,ความยากจน,y
貪欲,どんよく,โลภมาก ความโลภ ความกระหาย,y
貫く,つらぬく,เจาะ ทะลุ บรรจุ,
貫禄,かんろく,ดูมีภูมิฐาน น่าเกรงขาม,y
貫通,かんつう,ทะลุ（漢字）,y
責め立てる,せめたてる,ตำหนิ ต่อว่าอย่างต่อเนื่อง,y
貯蓄,ちょちく,การออมทรัพย์,y
貯蔵庫,ちょぞうこ,โกดัง ที่เก็บของ,y
貶す,けなす,ดูถูก / พูดจากล่าวร้าย,y
買い占める,かいしめる,กว้านซื้อ กักตุน,y
費やす,ついやす,ใช้ ทุ่มเท เสีย,
賄賂,わいろ,สินบน,y
資する,しする,ช่วยเหลือ,
資金洗浄,しきんせんじょう,การฟอกเงิน,y
賛同,さんどう,การเห็นชอบ การอนุมัติ การสนับสนุน,y
賛否両論,さんぴりょうろん,（四字熟語） การมีความเห็นทั้งเห็นด้วยและไม่เห็นด้วย,y
質疑,しつぎ,คำถาม,
質素,しっそ,อย่างเรียบง่าย,
質量,しつりょう,มวล (ฟิสิกส์),y
贔屓,ひいき,ลำเอียง ให้ท้าย,y
赤の他人,あかのたにん,คนอื่น คนนอกสายเลือด คนที่ไม่เกี่ยวข้อง,y
赤道,せきどう,เส้นศูนย์สูตร,y
起因する,きいんする,เกิดมาจาก สืบเนื่องมาจาก,
起死回生,きしかいせい,（四字熟語）พลิกฟื้นจากสถานการณ์สิ้นหวังมาได้อย่างปาฏิหาริย์,y
起点,きてん,จุดเริ่มต้น,
超伝導状態,ちょうでんどうじょうたい,สภาพนำยวดยิ่ง,y
超越,ちょうえつ,การเป็นเลิศ ยอดเยี่ยมเหนือทั่วไป อยู่เหนือกว่า,y
足を引っ張る,あしをひっぱる,ขัดขา ขัดขวาง เป็นอุปสรรค,y
跨ぐ,またぐ,คร่อม ข้าม,y
跪く,ひざまずく,คุกเข่า,y
跪座,きざ,การนั่งท่าเทพบุตร นั่งบนส้นเท้า,y
路肩,ろかた,ไหล่ทาง,y
踊り場,おどりば,ชานพักบันได,y
踝,くるぶし,ข้อเท้า ตาตุ่ม,y
躊躇,ちゅうちょ,การลังเล,y
躊躇う,ためらう,ลังเล,
身の丈,みのたけ,ความพอดีตัว ไม่เกินความสามารถ,y
身の丈を知る,みのたけをしる,รู้จักพอดี เจียมตัว รู้จักประมาณตัว,y
身も蓋もない,みもふたもない,พูดจาขวานผ่าซาก พูดตรง ๆ (身),y
車上荒らし,しゃじょうあらし,ทุบรถเพื่อขโมยของ,y
軒並み,のきなみ,ทุก ๆ แห่ง ทุก ๆ ที่ ไม่ว่าที่ไหนก็เหมือน ๆ กัน,y
軒先,のきさき,หน้าบ้าน ริมชายคา,y
軽んじる,かろんじる,ประมาท สะเพร่า ละเลยความสำคัญ (和語),y
軽視,けいし,การประมาท ไม่เห็นความสำคัญ,
輪っか,わっか,วงแหวน,y
輸血,ゆけつ,การให้เลือด,y
辺鄙,へんぴ,ห่างไกลความเจริญ,y
辿る,たどる,ตามรอย,
迅速に,じんそくに,อย่างฉับไว,y
迫る,せまる,เข้าใกล้ ประชิด บีบบังคับ,y
迫力,はくりょく,พลัง อำนาจ,
迸る,ほとばしる,ไหลทะลักออกมา,y
逆らう,さからう,ฝืนกฎ แหกกฎ ขัดแย้ง,
逆境,ぎゃっきょう,อุปสรรค ความยากลำบาก,y
逆流性食道炎,ぎゃくりゅうせいしょくどうえん,กรดไหลย้อน,y
造詣,ぞうけい,แตกฉาน,y
連中,れんちゅう,พรรคพวก,y
連盟,れんめい,สมาพันธ์ สภา สหพันธ์ สมาคม,y
進捗,しんちょく,ความคืบหน้า,y
逸れる,それる,คลาดเคลื่อน หักเห ไปทางอื่น (～る),y
逸話,いつわ,เรื่องเล็ก ๆ น้อย ๆ,
運勢,うんせい,โชคชะตา,
過保護,かほご,เลี้ยงดูอย่างทะนุถนอนมากเกินไป,y
過信,かしん,เชื่อมั่นมากเกินไป มั่นใจมากเกินไป,y
過剰,かじょう,มากเกินไป มากเกินควร,
過剰防衛,かじょうぼうえい,การป้องกันตัวเกินกว่าเหตุ,y
過疎,かそ,มีประชากรเบาบาง,y
