単語,読み方
継ぎ接ぎ,つぎはぎ
維持,いじ
網戸,あみど
網羅,もうら
網膜,もうまく
綿毛,わたげ
緊迫,きんぱく
総括,そうかつ
総称,そうしょう
緻密,ちみつ
縁,ふち
縁起,えんぎ
縋る,すがる
縛る,しばる
縞,しま
縫う,ぬう
縮む,ちぢむ
繊細,せんさい
繊維,せんい
繰る,くる
罅,ひび
罠,わな
署名,しょめい
美人局,つつもたせ
美辞麗句,びじれいく
羞恥心,しゅうちしん
群衆,ぐんしゅう
群青,ぐんじょう
羨望,せんぼう
翡翠,ひすい
老若男女,ろうにゃくなんにょ
考慮,こうりょ
耕す,たがやす
肉汁,にくじゅう
肋骨,ろっこつ
肝に銘じる,きもにめいじる
肥える,こえる
肺活量,はいかつりょう
背面,はいめん
胎児,たいじ
胡坐,あぐら
胡散臭い,うさんくさい
能登半島,のとはんとう
脅す,おどす
脆い,もろい
脆弱,ぜいじゃく
脚本,きゃくほん
脛,すね
脱臼,だっきゅう
脳卒中,のうそっちゅう
脳梗塞,のうこうそく
脳裏,のうり
腫瘍,しゅよう
腹黒い,はらぐろい
膀胱,ぼうこう
膨らむ,ふくらむ
膨大,ぼうだい
膿,うみ
臆病,おくびょう
臨終,りんじゅう
自ずから,おのずから
興行,こうぎょう
色彩,しきさい
色褪せる,いろあせる
芦原橋,あしはらばし
芽生える,めばえる
苗,なえ
苛立つ,いらだつ
苦境,くきょう
苦汁,にがり
苦言,くげん
茂み,しげみ
茅,かや
茅場町,かやばちょう
茫然自失,ぼうぜんじしつ
莫大,ばくだい
華厳滝,けごんのたき
華奢,きゃしゃ
萎える,なえる
落胆,らくたん
落花生,らっかせい
葉酸,ようさん
著しい,いちじるしい
著す,あらわす
著者,ちょしゃ
葛藤,かっとう
葡萄,ぶどう
蒲田,かまた
蒼白,そうはく
蔓,つる
蔓延,まんえん
蔵書,ぞうしょ
蕁麻疹,じんましん
薄膜,うすまく
薪,たきぎ
虚しい,むなしい
虫垂,ちゅうすい
虫酸,むしず
虱,しらみ
蚊柱,かばしら
蚕,かいこ
蚤,のみ
蛋白質,たんぱくしつ
蛭,ひる
蛹,さなぎ
蝸牛,かたつむり
融資,ゆうし
融通,ゆうずう
螺旋,らせん
蟹座,かにざ
蠍座,さそりざ
血小板,けっしょうばん
行事,ぎょうじ
衛生,えいせい
衝突,しょうとつ
衣,きぬ
衣替え,ころもがえ
衣裳,いしょう
表裏一体,ひょうりいったい
衰える,おとろえる
衰弱,すいじゃく
袖,そで
被爆,ひばく
装飾,そうしょく
補う,おぎなう
裾,すそ
襟,えり
襲う,おそう
西表島,いりおもてじま
覆い隠す,おおいかくす
覆す,くつがえす
視野,しや
覚悟,かくご
覚醒,かくせい
親不孝,おやふこう
観喜天,かんぎてん
解く,とく、ほどく
解剖,かいぼう
解毒,げどく
言及,げんきゅう
言語道断,ごんごどうだん
言質,げんち
訊く,きく
討議,とうぎ
設える,しつらえる
設ける,もうける
許容,きょよう
証す,しょうす
試み,こころみ
該当,がいとう
詳らか,つまびらか
誇らしい,ほこらしい
誇示,こじ
語頭,ごとう
誠意,せいい
読経,どきょう
誰彼,だれかれ
誹謗中傷,ひぼうちゅうしょう
諏訪市,すわし
論旨,ろんし
謳う,うたう
謳歌,おうか
謹む,つつしむ
謹慎,きんしん
護身,ごしん
護送車,ごそうしゃ
豊富,ほうふ
豪州,ごうしゅう
負担,ふたん
財宝,ざいほう
財閥,ざいばつ
貢献,こうけん
貧しい,まずしい
貧困,ひんこん
貨幣,かへい
貪欲,どんよく
貫く,つらぬく
貯蓄,ちょちく
貶す,けなす
費やす,ついやす
賄賂,わいろ
資する,しする
賜る,たまわる
賢明,けんめい
質素,しっそ
贔屓,ひいき
赤坂見附,あかさかみつけ
赤道,せきどう
赴く,おもむく
起因,きいん
超越,ちょうえつ
跨ぐ,またぐ
跪く,ひざまずく
跪座,きざ
踊り場,おどりば
踝,くるぶし
踠く,もがく
躊躇,ちゅうちょ
躊躇う,ためらう
身延,みのぶ
軌道,きどう
軒並み,のきなみ
軒先,のきさき
軽んじる,かろんじる
輪っか,わっか
輸血,ゆけつ
轟く,とどろく
轟音,ごうおん
辛子,からし
辺鄙,へんぴ
辿る,たどる
迂回路,うかいろ
迅速,じんそく
迫る,せまる
述語,じゅつご
迸る,ほとばしる
退ける（!ど!の）,しりぞける
退治,たいじ
逆らう,さからう
逆境,ぎゃっきょう
透ける,すける
造船,ぞうせん
造詣,ぞうけい
連ねる,つらねる
進捗,しんちょく
逸れる,それる
逸話,いつわ
遊学,ゆうがく
過剰,かじょう
過疎,かそ
道場,どうじょう
適宜,てきぎ
遮る,さえぎる
遮断,しゃだん
遷移,せんい
邂逅,かいこう
酒池肉林,しゅちにくりん
酔客,すいきゃく
醸し出す,かもしだす
重畳,ちょうじょう
重篤,じゅうとく
金槌,かなづち
金縛り,かなしばり
金融,きんゆう
釘,くぎ
鉄棒,てつぼう
鉤括弧,かぎかっこ
鉱脈,こうみゃく
銀杏,ぎんなん
銅鑼,どら
鋼,はがね
鋼鉄,こうてつ
錠前,じょうまえ
錠剤,じょうざい
鍔,つば
鍛錬,たんれん
鍬,くわ
鎧,よろい
鎮める,しずめる
鎮台,ちんだい
長良川,ながらがわ
長袴,ながばかま
長針,ちょうしん
門真,かどま
閃く,ひらめく
閏,うるう
間取り,まどり
間引く,まびく
間隔,かんかく
闇市,やみいち
闖入,ちんにゅう
防ぐ,ふせぐ
阻止,そし
降参,こうさん
降順,こうじゅん
陣営,じんえい
陥る,おちいる
陥落,かんらく
陶芸,とうげい
隕石,いんせき
際立つ,きわだつ
障壁,しょうへき
障子,しょうじ
隠蔽,いんぺい
集う,つどう
雑木林,ぞうきばやし
雑炊,ぞうすい
雑然,ざつぜん
雑穀,ざっこく
雑草,ざっそう
雑魚寝,ざこね
雪隠,せっちん
雲梯,うんてい
零細,れいさい
雷鳴,らいめい
電柱,でんちゅう
電磁波,でんじは
需要,じゅよう
霜,しも
露,つゆ
青砥,あおと
青酸,せいさん
面従腹背,めんじゅうふくはい
革新,かくしん
靭帯,じんたい
鞍馬,あんば
鞭,むち
響めく,どよめく
預金,よきん
領空侵犯,りょうくうしんぱん
頭文字,かしらもじ
頭蓋骨,ずがいこつ
額縁,がくぶち
顎,あご
顎関節,がくかんせつ
類似,るいじ
顧みる,かえりみる
風潮,ふうちょう
風靡,ふうび
飴,あめ
養う,やしなう
養蚕,ようさん
館,やかた
饒舌,じょうぜつ
馬力,ばりき
駆除,くじょ
驚愕,きょうがく
髑髏,どくろ
高潔,こうけつ
鬼門,きもん
魂,たましい
魑魅魍魎,ちみもうりょう
魚の棚,うおのたな
魚座,うおざ
鮪,まぐろ
鮭,しゃけ／さけ
鮮やか,あざやか
鯉,こい
鯛,たい
鯱,しゃち
鯵,あじ
鰭,ひれ
