Deutsch,Wortart,Thailändisch,Add Reverse
komisch,Adj.,แปลก ๆ (k),y
kompliziert,Adj.,ซับซ้อน,y
können,V.,สามารถ,y
kontrollieren,V.,ควบคุม บังคับ,y
korrigieren,V.,แก้ไข ทำให้ถูกต้อง,y
kosten,V.,มีราคา,y
kostenlos,Adj.,ฟรี,y
kräftig,Adj.,แข็งแรง,y
krank,Adj.,ป่วย,y
kreuzen,V.,ข้าม ตัดผ่าน (ถนน),y
kühl,Adj.,เย็น,y
kurz,Adj.,สั้น ใกล้,y
kürzlich,Adv.,เร็ว ๆ นี้ ช่วงนี้ (k),y
lächeln,V.,ยิ้ม,y
lachen,V.,หัวเราะ,y
laden,V.,ชวน,y
langsam,Adj.,ช้า (ความเร็ว),y
lassen,V.,ออก ทิ้งไว้,y
laufen,V.,วิ่ง,y
laut,Adj.,เสียงดัง,y
lecker,Adj.,อร่อย,y
ledig,Adj.,โสด,y
legen,V.,วางลง (!s),y
leider,Adv.,เกรงว่า เป็นที่น่าเสียดายว่า,y
leihen,V.,ให้ยืม,y
leise,A.,อย่างเบา ๆ ด้วยเสียงเบา,y
lernen,V.,เรียน (!s),y
lesen,V.,อ่าน,y
letzt,Adj.,ล่าสุด สุดท้าย,y
lieber,Adv.,…ชอบกว่า (ขั้นกว่าของ gern),y
liegen,V.,นอน (en: lay down),y
link,Adj.,ซ้าย,y
loben,V.,ชม (ja: 褒める),y
löschen,V.,ลบ ดับ(ไฟ),y
losgehen,V.,ออกไป เริ่มเดินทาง (~g),y
lügen,V.,โกหก,y
lustig,Adj.,ตลก ขำขัน,y
machen,V.,ทำ,y
manch,Pron.,บ้าง บาง(อัน),
manchmal,Adv.,บางครั้ง,y
männlich,Adj.,เพศชาย,y
meinen,V.,หมายถึง (ref),y
meistens,Adv.,ส่วนใหญ่,y
merken,V.,สังเกตเห็น,y
mieten,V.,เช่า,y
mischen,V.,ผสม สลับ,y
mitbringen,V.,เอาไปด้วย(กับ) (!n),y
mit dem Hund Gassi gehen,,พาหมาไปเดินเล่น,y
miteinander,Adv.,ด้วยกัน (en: together),y
mitkommen,V.,มาด้วย,y
mittags,Adv.,ตอนเที่ยง,y
mitternachts,Adv.,ช่วงเที่ยงคืน,y
möbliert,Adj.,พร้อมเฟอร์นิเจอร์,y
möchten,V.,เอา ขอ อยากได้,y
mögen,V.,ชอบ (มัก),y
möglich,Adj.,เป็นไปได้,y
morgen,Adv.,พรุ่งนี้,y
morgens,Adv.,ตอนเช้า,y
müde,Adj.,ง่วง เพลีย,y
muskulös,Adj.,เป็นกล้าม มีกล้าม,y
müssen,V.,ต้อง,y
nachmittags,Adv.,ตอนบ่าย,y
nächst,Adj.,ถัดไป,y
nachts,Adv.,ตอนกลางคืน,y
nah,Adj.,ใกล้,y
nämlich,Adv.,คือว่า แบบว่า เพราะว่า,y
nass,Adj.,เปียก,y
natürlich,Adv.,แน่นอน (n),y
neben,Präp.,ข้าง ๆ ถัดไป ถัดจาก,y
nehmen,V.,หยิบ จับ ขึ้น(ยานพาหนะ),y
nennen,V.,เรียก ตั้งชื่อ,y
nervös,Adj.,ประหม่า ตื่นเต้น,y
nett,Adj.,ใจดี,y
neu,Adj.,ใหม่,y
neugierig,Adj.,น่าสงสัย,y
nichts,pron.,ไม่เลย ไม่มีอะไรเลย,y
nichts los sein,V.,ไม่มีอะไรเกิดขึ้น,y
nicken,V.,พยักหน้า,y
nie,Adv.,ไม่เลย ไม่เคย,y
niemand,pron.,ไม่มีใคร ไม่เลยสักคน,y
noch,,ยัง อีก,y
noch mal,Adv.,อีกครั้ง (๒),y
normalerweise,Adv.,โดยปกติแล้ว,y
nötig,Adj.,ที่จำเป็น,y
nützlich,Adj.,"มีประโยชน์ เป็นพระคุณ (en: useful, helpful)",y
ob,Konj.,ว่า…หรือไม่ (en: whether),y
oben,Adv.,ข้างบน (!ü),y
obwohl,Konj.,แม้ว่า (!t),y
